Class,OzESI_Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition,Retention_Time
,545137.8179550171,,760.6,571.596,CrudeCanola_O3on_150gN3_02082023,760.6 -> 571.596,
,620821.9442253113,,762.6,573.596,CrudeCanola_O3on_150gN3_02082023,762.6 -> 573.596,
,944185.9277381896,,764.6,575.596,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,
,1137433.922012329,,766.7,577.596,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,
,590067.6215438843,,782.6,593.596,CrudeCanola_O3on_150gN3_02082023,782.6 -> 593.596,
,536579.2383117676,,784.6,595.596,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,
,460230.0313835144,,786.6,569.596,CrudeCanola_O3on_150gN3_02082023,786.6 -> 569.596,
,574406.8006248474,,786.6,597.596,CrudeCanola_O3on_150gN3_02082023,786.6 -> 597.596,
,341569.8039665222,,788.6,571.596,CrudeCanola_O3on_150gN3_02082023,788.6 -> 571.596,
,1037703.87374115,,788.6,599.596,CrudeCanola_O3on_150gN3_02082023,788.6 -> 599.596,
,813937.0591239929,,790.6,601.596,CrudeCanola_O3on_150gN3_02082023,790.6 -> 601.596,
,414465.9496574402,,790.7,573.596,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.596,
,1644577.2702941897,,792.6,603.596,CrudeCanola_O3on_150gN3_02082023,792.6 -> 603.596,
,526943.957408905,,792.7,575.596,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,
,1287906.511253357,,794.6,605.596,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,
,748102.492767334,,794.7,577.596,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,
,851320.2012672424,,796.7,579.596,CrudeCanola_O3on_150gN3_02082023,796.7 -> 579.596,
,445069.7914657593,,812.7,595.596,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,
,521672.2765197754,,814.7,597.596,CrudeCanola_O3on_150gN3_02082023,814.7 -> 597.596,
,554324.2788009644,,816.7,599.596,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,
,494212.0953407288,,818.7,601.596,CrudeCanola_O3on_150gN3_02082023,818.7 -> 601.596,
,765342.9136238098,,820.7,603.596,CrudeCanola_O3on_150gN3_02082023,820.7 -> 603.596,
,801509.7371406555,,822.7,605.596,CrudeCanola_O3on_150gN3_02082023,822.7 -> 605.596,
TAG,351944.1647415161,[TG(52:6)]_FA18:1,868.7,569.596,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,347724.5445098877,[TG(52:6)]_FA18:1,868.7,569.596,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,345145.22470474243,[TG(52:5)]_FA18:1,870.8,571.596,CrudeCanola_O3on_150gN3_02082023,870.8 -> 571.596,
TAG,644667.5072174072,[TG(52:4)]_FA18:1,872.8,573.596,CrudeCanola_O3on_150gN3_02082023,872.8 -> 573.596,14.3
TAG,3785085.12594986,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.596,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,
TAG,6697261.701007843,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.596,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,
TAG,1560941.4694252014,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.596,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,
TAG,561813.2996520996,[TG(54:6)]_FA18:1,896.8,597.596,CrudeCanola_O3on_150gN3_02082023,896.8 -> 597.596,
TAG,1642856.0752105713,[TG(54:5)]_FA18:1,898.8,599.596,CrudeCanola_O3on_150gN3_02082023,898.8 -> 599.596,14.31
TAG,2771804.7530555725,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.596,CrudeCanola_O3on_150gN3_02082023,900.8 -> 601.596,
TAG,8742020.293811798,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.596,CrudeCanola_O3on_150gN3_02082023,902.8 -> 603.596,
TAG,3717027.4933662415,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.596,CrudeCanola_O3on_150gN3_02082023,904.8 -> 605.596,
,561109.7400360107,,760.6,571.596,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,
,657421.827091217,,762.6,573.596,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,
,919748.5039558412,,764.6,575.596,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,
,1090458.857646942,,766.7,577.596,DegummedCanola_O3on_150gN3_02082023,766.7 -> 577.596,
,602676.5223236084,,782.6,593.596,DegummedCanola_O3on_150gN3_02082023,782.6 -> 593.596,
,550441.7989883423,,784.6,595.596,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,
,446864.7113990784,,786.6,569.596,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,
,561280.9593391418,,786.6,597.596,DegummedCanola_O3on_150gN3_02082023,786.6 -> 597.596,
,364321.1055412293,,788.6,571.596,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,
,997837.2706642152,,788.6,599.596,DegummedCanola_O3on_150gN3_02082023,788.6 -> 599.596,
,713391.8884849548,,790.6,601.596,DegummedCanola_O3on_150gN3_02082023,790.6 -> 601.596,
,426395.3901100159,,790.7,573.596,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,
,1308903.736465454,,792.6,603.596,DegummedCanola_O3on_150gN3_02082023,792.6 -> 603.596,
,526502.8769798279,,792.7,575.596,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,
,1132099.6993980408,,794.6,605.596,DegummedCanola_O3on_150gN3_02082023,794.6 -> 605.596,
,717454.6710968018,,794.7,577.596,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,
,856774.6405944824,,796.7,579.596,DegummedCanola_O3on_150gN3_02082023,796.7 -> 579.596,
,443210.0709495544,,812.7,595.596,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,
,475080.1142730713,,814.7,597.596,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,
,540687.9590682983,,816.7,599.596,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,
,460835.4123573303,,818.7,601.596,DegummedCanola_O3on_150gN3_02082023,818.7 -> 601.596,
,689716.7682800293,,820.7,603.596,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,
,706575.9496269226,,822.7,605.596,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,
TAG,354672.4652671814,[TG(52:6)]_FA18:1,868.7,569.596,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,342003.1238975525,[TG(52:6)]_FA18:1,868.7,569.596,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,342159.9241256714,[TG(52:5)]_FA18:1,870.8,571.596,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,
TAG,597866.6024055481,[TG(52:4)]_FA18:1,872.8,573.596,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,14.3
TAG,3402656.4227790837,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.596,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,
TAG,5795583.352031708,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.596,DegummedCanola_O3on_150gN3_02082023,876.8 -> 577.596,
TAG,1503224.287902832,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.596,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,
TAG,545486.2384643555,[TG(54:6)]_FA18:1,896.8,597.596,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,
TAG,1468065.0251083374,[TG(54:5)]_FA18:1,898.8,599.596,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,14.31
TAG,1886446.975429535,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.596,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,
TAG,5594797.650001526,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.596,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,
TAG,2923046.94373703,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.596,DegummedCanola_O3on_150gN3_02082023,904.8 -> 605.596,
,522143.45695495605,,760.6,571.596,RBDCanola_O3on_150gN3_02082023,760.6 -> 571.596,
,605729.3631057739,,762.6,573.596,RBDCanola_O3on_150gN3_02082023,762.6 -> 573.596,
,1031222.9124794006,,764.6,575.596,RBDCanola_O3on_150gN3_02082023,764.6 -> 575.596,
,1205329.063709259,,766.7,577.596,RBDCanola_O3on_150gN3_02082023,766.7 -> 577.596,
,622521.4839363098,,782.6,593.596,RBDCanola_O3on_150gN3_02082023,782.6 -> 593.596,
,547042.2190322876,,784.6,595.596,RBDCanola_O3on_150gN3_02082023,784.6 -> 595.596,
,463821.6133079529,,786.6,569.596,RBDCanola_O3on_150gN3_02082023,786.6 -> 569.596,
,574872.540512085,,786.6,597.596,RBDCanola_O3on_150gN3_02082023,786.6 -> 597.596,
,344775.404586792,,788.6,571.596,RBDCanola_O3on_150gN3_02082023,788.6 -> 571.596,
,1030287.4925689696,,788.6,599.596,RBDCanola_O3on_150gN3_02082023,788.6 -> 599.596,
,754968.3528175354,,790.6,601.596,RBDCanola_O3on_150gN3_02082023,790.6 -> 601.596,
,412957.6691131592,,790.7,573.596,RBDCanola_O3on_150gN3_02082023,790.7 -> 573.596,
,1377568.7584648132,,792.6,603.596,RBDCanola_O3on_150gN3_02082023,792.6 -> 603.596,
,548651.8587112427,,792.7,575.596,RBDCanola_O3on_150gN3_02082023,792.7 -> 575.596,
,1276374.2517700195,,794.6,605.596,RBDCanola_O3on_150gN3_02082023,794.6 -> 605.596,
,746945.5930595398,,794.7,577.596,RBDCanola_O3on_150gN3_02082023,794.7 -> 577.596,
,876607.3612365723,,796.7,579.596,RBDCanola_O3on_150gN3_02082023,796.7 -> 579.596,
,453147.4323806762,,812.7,595.596,RBDCanola_O3on_150gN3_02082023,812.7 -> 595.596,
,503337.1763305664,,814.7,597.596,RBDCanola_O3on_150gN3_02082023,814.7 -> 597.596,
,557623.7792739868,,816.7,599.596,RBDCanola_O3on_150gN3_02082023,816.7 -> 599.596,
,461635.2325210571,,818.7,601.596,RBDCanola_O3on_150gN3_02082023,818.7 -> 601.596,
,690232.3283195496,,820.7,603.596,RBDCanola_O3on_150gN3_02082023,820.7 -> 603.596,
,774234.4149017334,,822.7,605.596,RBDCanola_O3on_150gN3_02082023,822.7 -> 605.596,
TAG,357638.60496521,[TG(52:6)]_FA18:1,868.7,569.596,RBDCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,343247.2043533325,[TG(52:6)]_FA18:1,868.7,569.596,RBDCanola_O3on_150gN3_02082023,868.7 -> 569.596,
TAG,340970.5439376831,[TG(52:5)]_FA18:1,870.8,571.596,RBDCanola_O3on_150gN3_02082023,870.8 -> 571.596,
TAG,512097.9154090881,[TG(52:4)]_FA18:1,872.8,573.596,RBDCanola_O3on_150gN3_02082023,872.8 -> 573.596,14.3
TAG,2459752.8118858337,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.596,RBDCanola_O3on_150gN3_02082023,874.8 -> 575.596,
TAG,5006598.253002167,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.596,RBDCanola_O3on_150gN3_02082023,876.8 -> 577.596,
TAG,1503208.5062179563,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.596,RBDCanola_O3on_150gN3_02082023,894.8 -> 595.596,
TAG,489750.7144775391,[TG(54:6)]_FA18:1,896.8,597.596,RBDCanola_O3on_150gN3_02082023,896.8 -> 597.596,
TAG,1179903.5820159912,[TG(54:5)]_FA18:1,898.8,599.596,RBDCanola_O3on_150gN3_02082023,898.8 -> 599.596,14.31
TAG,1654773.7201538086,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.596,RBDCanola_O3on_150gN3_02082023,900.8 -> 601.596,
TAG,5234118.9337005615,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.596,RBDCanola_O3on_150gN3_02082023,902.8 -> 603.596,
TAG,2793856.001617432,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.596,RBDCanola_O3on_150gN3_02082023,904.8 -> 605.596,
