Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,is_special_case,n-7,n-9,n-12,db_pos,Ratio
,TG(52:2)]_FA18:1,16153.0,766.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,0,684.7,656.7,614.7,n-9,4.23
TG,TG(52:2)]_FA18:1,102684.0,876.8,577.596,18.04,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,3815.0,794.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,3420.0,764.6,575.596,16.09,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,3.16
TG,TG(52:3)]_FA18:1,22411.0,874.8,575.596,16.12,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,1083.0,792.7,575.596,16.04,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,551.0,784.6,595.596,21.57,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.13
TG,TG(53:0)]_FA18:1,2458.0,894.8,595.596,17.55,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,488.0,812.7,595.596,20.87,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
,TG(54:2)]_FA18:1,11693.0,794.6,605.596,20.0,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,0,712.6,684.6,642.6,n-9,4.31
TG,TG(54:2)]_FA18:1,64091.0,904.8,605.596,20.01,CrudeCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
,TG(54:2)]_FA18:1,2716.0,822.7,605.596,19.98,CrudeCanola_O3on_150gN3_02082023,822.7 -> 605.596,0,740.7,712.7,670.7,n-7,
,TG(54:3)]_FA18:1,99860.0,792.6,603.596,17.98,CrudeCanola_O3on_150gN3_02082023,792.6 -> 603.596,0,710.6,682.6,640.6,n-9,5.81
TG,TG(54:3)]_FA18:1,529919.0,902.8,603.596,17.99,CrudeCanola_O3on_150gN3_02082023,902.8 -> 603.596,0,820.8,792.8,750.8,,
,TG(54:3)]_FA18:1,17186.0,820.7,603.596,17.98,CrudeCanola_O3on_150gN3_02082023,820.7 -> 603.596,0,738.7,710.7,668.7,n-7,
,TG(54:4)]_FA18:1,27001.0,790.6,601.596,16.07,CrudeCanola_O3on_150gN3_02082023,790.6 -> 601.596,0,708.6,680.6,638.6,n-9,4.91
TG,TG(54:4)]_FA18:1,154459.0,900.8,601.596,16.1,CrudeCanola_O3on_150gN3_02082023,900.8 -> 601.596,0,818.8,790.8,748.8,,
,TG(54:4)]_FA18:1,5501.0,818.7,601.596,16.09,CrudeCanola_O3on_150gN3_02082023,818.7 -> 601.596,0,736.7,708.7,666.7,n-7,
,[TG(52:4)]_FA18:1,1875.0,762.6,573.596,14.3,CrudeCanola_O3on_150gN3_02082023,762.6 -> 573.596,0,680.6,652.6,610.6,n-9,3.05
TG,[TG(52:4)]_FA18:1,12424.0,872.8,573.596,14.32,CrudeCanola_O3on_150gN3_02082023,872.8 -> 573.596,0,790.8,762.8,720.8,,
,[TG(52:4)]_FA18:1,615.0,790.7,573.596,14.31,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.596,0,708.7,680.7,638.7,n-7,
,[TG(52:5)]_FA18:1,579.0,760.6,571.596,12.41,CrudeCanola_O3on_150gN3_02082023,760.6 -> 571.596,0,678.6,650.6,608.6,n-9,1.74
TG,[TG(52:5)]_FA18:1,1658.0,870.8,571.596,12.43,CrudeCanola_O3on_150gN3_02082023,870.8 -> 571.596,0,788.8,760.8,718.8,,
,[TG(52:5)]_FA18:1,333.0,788.6,571.596,12.41,CrudeCanola_O3on_150gN3_02082023,788.6 -> 571.596,0,706.6,678.6,636.6,n-7,
TG,[TG(52:6)]_FA18:1,456.0,868.7,569.596,21.61,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,430.0,786.6,569.596,21.2,CrudeCanola_O3on_150gN3_02082023,786.6 -> 569.596,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,5259.0,788.6,599.596,14.31,CrudeCanola_O3on_150gN3_02082023,788.6 -> 599.596,0,706.6,678.6,636.6,n-9,4.09
TG,[TG(54:5)]_FA18:1,23352.0,898.8,599.596,14.3,CrudeCanola_O3on_150gN3_02082023,898.8 -> 599.596,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,1287.0,816.7,599.596,14.31,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,948.0,786.6,597.596,12.44,CrudeCanola_O3on_150gN3_02082023,786.6 -> 597.596,0,704.6,676.6,634.6,n-9,1.74
TG,[TG(54:6)]_FA18:1,3022.0,896.8,597.596,12.44,CrudeCanola_O3on_150gN3_02082023,896.8 -> 597.596,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,546.0,814.7,597.596,17.49,CrudeCanola_O3on_150gN3_02082023,814.7 -> 597.596,0,732.7,704.7,662.7,n-7,
,TG(52:2)]_FA18:1,9987.0,766.7,577.596,17.94,DegummedCanola_O3on_150gN3_02082023,766.7 -> 577.596,0,684.7,656.7,614.7,n-9,4.31
TG,TG(52:2)]_FA18:1,48811.0,876.8,577.596,17.94,DegummedCanola_O3on_150gN3_02082023,876.8 -> 577.596,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,2316.0,794.7,577.596,17.93,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,2387.0,764.6,575.596,16.01,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,2.5
TG,TG(52:3)]_FA18:1,9940.0,874.8,575.596,16.0,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,955.0,792.7,575.596,15.98,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,691.0,784.6,595.596,22.09,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.08
TG,TG(53:0)]_FA18:1,2523.0,894.8,595.596,17.39,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,641.0,812.7,595.596,20.02,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
,TG(54:2)]_FA18:1,5166.0,794.6,605.596,19.92,DegummedCanola_O3on_150gN3_02082023,794.6 -> 605.596,1,712.6,684.6,642.6,n-9,3.84
TG,TG(54:2)]_FA18:1,22456.0,904.8,605.596,19.93,DegummedCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
,TG(54:2)]_FA18:1,1345.0,822.7,605.596,19.95,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,0,740.7,712.7,670.7,n-7,
,TG(54:3)]_FA18:1,61998.0,792.6,603.596,17.88,DegummedCanola_O3on_150gN3_02082023,792.6 -> 603.596,0,710.6,682.6,640.6,n-9,5.75
TG,TG(54:3)]_FA18:1,254776.0,902.8,603.596,17.89,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,0,820.8,792.8,750.8,,
,TG(54:3)]_FA18:1,10785.0,820.7,603.596,17.9,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,0,738.7,710.7,668.7,n-7,
,TG(54:4)]_FA18:1,14145.0,790.6,601.596,15.98,DegummedCanola_O3on_150gN3_02082023,790.6 -> 601.596,0,708.6,680.6,638.6,n-9,4.07
TG,TG(54:4)]_FA18:1,65799.0,900.8,601.596,15.97,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,0,818.8,790.8,748.8,,
,TG(54:4)]_FA18:1,3479.0,818.7,601.596,15.96,DegummedCanola_O3on_150gN3_02082023,818.7 -> 601.596,0,736.7,708.7,666.7,n-7,
,[TG(52:4)]_FA18:1,1897.0,762.6,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,0,680.6,652.6,610.6,n-9,2.96
TG,[TG(52:4)]_FA18:1,8600.0,872.8,573.596,14.19,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,0,790.8,762.8,720.8,,
,[TG(52:4)]_FA18:1,640.0,790.7,573.596,14.2,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,0,708.7,680.7,638.7,n-7,
,[TG(52:5)]_FA18:1,541.0,760.6,571.596,12.38,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,0,678.6,650.6,608.6,n-9,1.36
TG,[TG(52:5)]_FA18:1,512.0,870.8,571.596,12.3,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,0,788.8,760.8,718.8,,
,[TG(52:5)]_FA18:1,397.0,788.6,571.596,17.35,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,0,706.6,678.6,636.6,n-7,
TG,[TG(52:6)]_FA18:1,462.0,868.7,569.596,14.65,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,445.0,786.6,569.596,18.33,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,4061.0,788.6,599.596,14.2,DegummedCanola_O3on_150gN3_02082023,788.6 -> 599.596,0,706.6,678.6,636.6,n-9,3.83
TG,[TG(54:5)]_FA18:1,13152.0,898.8,599.596,14.19,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,1061.0,816.7,599.596,14.21,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,671.0,786.6,597.596,15.28,DegummedCanola_O3on_150gN3_02082023,786.6 -> 597.596,0,704.6,676.6,634.6,n-9,1.21
TG,[TG(54:6)]_FA18:1,884.0,896.8,597.596,12.31,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,554.0,814.7,597.596,16.43,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,0,732.7,704.7,662.7,n-7,
,TG(52:2)]_FA18:1,12642.0,766.7,577.596,18.07,RBDCanola_O3on_150gN3_02082023,766.7 -> 577.596,0,684.7,656.7,614.7,n-9,4.7
TG,TG(52:2)]_FA18:1,58976.0,876.8,577.596,18.09,RBDCanola_O3on_150gN3_02082023,876.8 -> 577.596,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,2689.0,794.7,577.596,18.06,RBDCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,3097.0,764.6,575.596,16.16,RBDCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,3.07
TG,TG(52:3)]_FA18:1,13319.0,874.8,575.596,16.15,RBDCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,1009.0,792.7,575.596,16.07,RBDCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,586.0,784.6,595.596,21.92,RBDCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.32
TG,TG(53:0)]_FA18:1,2299.0,894.8,595.596,17.39,RBDCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,444.0,812.7,595.596,20.93,RBDCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
,TG(54:2)]_FA18:1,7721.0,794.6,605.596,20.04,RBDCanola_O3on_150gN3_02082023,794.6 -> 605.596,0,712.6,684.6,642.6,n-9,4.48
TG,TG(54:2)]_FA18:1,37838.0,904.8,605.596,20.04,RBDCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
,TG(54:2)]_FA18:1,1725.0,822.7,605.596,19.98,RBDCanola_O3on_150gN3_02082023,822.7 -> 605.596,0,740.7,712.7,670.7,n-7,
,TG(54:3)]_FA18:1,63686.0,792.6,603.596,18.01,RBDCanola_O3on_150gN3_02082023,792.6 -> 603.596,0,710.6,682.6,640.6,n-9,5.41
TG,TG(54:3)]_FA18:1,297883.0,902.8,603.596,18.02,RBDCanola_O3on_150gN3_02082023,902.8 -> 603.596,0,820.8,792.8,750.8,,
,TG(54:3)]_FA18:1,11771.0,820.7,603.596,18.01,RBDCanola_O3on_150gN3_02082023,820.7 -> 603.596,0,738.7,710.7,668.7,n-7,
,TG(54:4)]_FA18:1,17709.0,790.6,601.596,16.12,RBDCanola_O3on_150gN3_02082023,790.6 -> 601.596,0,708.6,680.6,638.6,n-9,4.97
TG,TG(54:4)]_FA18:1,87513.0,900.8,601.596,16.11,RBDCanola_O3on_150gN3_02082023,900.8 -> 601.596,0,818.8,790.8,748.8,,
,TG(54:4)]_FA18:1,3560.0,818.7,601.596,16.1,RBDCanola_O3on_150gN3_02082023,818.7 -> 601.596,0,736.7,708.7,666.7,n-7,
,[TG(52:4)]_FA18:1,1317.0,762.6,573.596,14.33,RBDCanola_O3on_150gN3_02082023,762.6 -> 573.596,0,680.6,652.6,610.6,n-9,2.68
TG,[TG(52:4)]_FA18:1,6939.0,872.8,573.596,14.34,RBDCanola_O3on_150gN3_02082023,872.8 -> 573.596,0,790.8,762.8,720.8,,
,[TG(52:4)]_FA18:1,492.0,790.7,573.596,14.31,RBDCanola_O3on_150gN3_02082023,790.7 -> 573.596,0,708.7,680.7,638.7,n-7,
,[TG(52:5)]_FA18:1,526.0,760.6,571.596,22.02,RBDCanola_O3on_150gN3_02082023,760.6 -> 571.596,0,678.6,650.6,608.6,n-9,1.51
TG,[TG(52:5)]_FA18:1,605.0,870.8,571.596,12.43,RBDCanola_O3on_150gN3_02082023,870.8 -> 571.596,0,788.8,760.8,718.8,,
,[TG(52:5)]_FA18:1,348.0,788.6,571.596,21.85,RBDCanola_O3on_150gN3_02082023,788.6 -> 571.596,0,706.6,678.6,636.6,n-7,
TG,[TG(52:6)]_FA18:1,462.0,868.7,569.596,22.93,RBDCanola_O3on_150gN3_02082023,868.7 -> 569.596,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,426.0,786.6,569.596,21.69,RBDCanola_O3on_150gN3_02082023,786.6 -> 569.596,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,3415.0,788.6,599.596,14.33,RBDCanola_O3on_150gN3_02082023,788.6 -> 599.596,0,706.6,678.6,636.6,n-9,3.83
TG,[TG(54:5)]_FA18:1,12850.0,898.8,599.596,14.34,RBDCanola_O3on_150gN3_02082023,898.8 -> 599.596,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,891.0,816.7,599.596,14.28,RBDCanola_O3on_150gN3_02082023,816.7 -> 599.596,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,587.0,786.6,597.596,19.48,RBDCanola_O3on_150gN3_02082023,786.6 -> 597.596,0,704.6,676.6,634.6,n-9,1.06
TG,[TG(54:6)]_FA18:1,1138.0,896.8,597.596,12.43,RBDCanola_O3on_150gN3_02082023,896.8 -> 597.596,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,554.0,814.7,597.596,22.9,RBDCanola_O3on_150gN3_02082023,814.7 -> 597.596,0,732.7,704.7,662.7,n-7,
