Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
PC,PC(36:1),111.04000854492188,788.6,571.6,10.008516666666667,CrudeCanola_O3on_150gN3_02082023,788.6 -> 571.596,706.6,678.6,636.6,,
PC,PC(36:2),117.3600082397461,786.6,569.6,10.009433333333334,CrudeCanola_O3on_150gN3_02082023,786.6 -> 569.596,704.6,676.6,634.6,,
PC,PC(38:2),165.74000549316406,814.7,597.6,10.004316666666668,CrudeCanola_O3on_150gN3_02082023,814.7 -> 597.596,732.7,704.7,662.7,,
PC,PC(38:3),132.0600128173828,812.7,595.6,10.0374,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,730.7,702.7,660.7,,
PC,PC(42:0),140.16000366210938,874.8,575.6,10.03275,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,792.8,764.8,722.8,,
PC,PC(42:1),100.30001068115234,872.8,573.6,10.049533333333335,CrudeCanola_O3on_150gN3_02082023,872.8 -> 573.596,790.8,762.8,720.8,,
PC,PC(42:2),115.92000579833984,870.8,571.6,10.2783,CrudeCanola_O3on_150gN3_02082023,870.8 -> 571.596,788.8,760.8,718.8,,
PC,PC(42:3),139.42001342773438,868.7,569.6,10.017850000000001,CrudeCanola_O3on_150gN3_02082023,868.7 -> 569.596,786.7,758.7,716.7,,
PC,PC(43:6),105.56000518798828,876.8,577.6,10.015966666666667,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,794.8,766.8,724.8,,
PC,PC(44:0),114.22000885009766,902.8,603.6,10.029933333333334,CrudeCanola_O3on_150gN3_02082023,902.8 -> 603.596,820.8,792.8,750.8,,
PC,PC(44:1),104.04000854492188,900.8,601.6,10.111933333333333,CrudeCanola_O3on_150gN3_02082023,900.8 -> 601.596,818.8,790.8,748.8,,
PC,PC(44:2),245.6000213623047,898.8,599.6,10.014566666666667,CrudeCanola_O3on_150gN3_02082023,898.8 -> 599.596,816.8,788.8,746.8,,
PC,PC(44:3),102.54000854492188,896.8,597.6,10.112883333333334,CrudeCanola_O3on_150gN3_02082023,896.8 -> 597.596,814.8,786.8,744.8,,
PC,PC(44:4),108.10000610351562,894.8,595.6,10.048116666666667,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,812.8,784.8,742.8,,
PC,PC(O-35:0),133.02000427246094,762.6,573.6,10.012216666666667,CrudeCanola_O3on_150gN3_02082023,762.6 -> 573.596,680.6,652.6,610.6,,
PC,PC(O-35:1),113.10000610351562,760.6,571.6,10.045300000000001,CrudeCanola_O3on_150gN3_02082023,760.6 -> 571.596,678.6,650.6,608.6,,
PC,PC(O-36:5),101.260009765625,766.7,577.6,10.0439,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,684.7,656.7,614.7,,
PC,PC(O-37:4),202.9400177001953,782.6,593.6,10.010816666666667,CrudeCanola_O3on_150gN3_02082023,782.6 -> 593.596,700.6,672.6,630.6,,
PC,PC(O-38:4),168.4600067138672,796.7,579.6,10.00525,CrudeCanola_O3on_150gN3_02082023,796.7 -> 579.596,714.7,686.7,644.7,,
PC,PC(O-38:5),225.12001037597656,794.7,577.6,10.005716666666666,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,712.7,684.7,642.7,,
PC,PC(O-38:6),173.00001525878906,792.7,575.6,10.00665,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,710.7,682.7,640.7,,
PC,PC(O-40:5),187.24002075195312,822.7,605.6,10.002433333333334,CrudeCanola_O3on_150gN3_02082023,822.7 -> 605.596,740.7,712.7,670.7,,
PC,PC(O-40:6),112.58000946044922,820.7,603.6,10.019216666666667,CrudeCanola_O3on_150gN3_02082023,820.7 -> 603.596,738.7,710.7,668.7,,
PC,PC(O-40:8),139.760009765625,816.7,599.6,10.00385,CrudeCanola_O3on_150gN3_02082023,816.7 -> 599.596,734.7,706.7,664.7,,
PC,PC(P-36:5),106.42000579833984,764.6,575.6,10.011750000000001,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,682.6,654.6,612.6,,
PC,PC(P-37:2),135.04000854492188,784.6,595.6,10.026666666666667,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,702.6,674.6,632.6,,
PC,PC(P-38:6),119.12001037597656,790.7,573.6,10.072816666666666,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.596,708.7,680.7,638.7,,
PC,PC(P-40:6),140.62001037597656,818.7,601.6,10.15015,CrudeCanola_O3on_150gN3_02082023,818.7 -> 601.596,736.7,708.7,666.7,,
PC,PC(36:1),164.20001220703125,788.6,571.6,10.008533333333334,DegummedCanola_O3on_150gN3_02082023,788.6 -> 571.596,706.6,678.6,636.6,,
PC,PC(36:2),131.0800018310547,786.6,569.6,10.009450000000001,DegummedCanola_O3on_150gN3_02082023,786.6 -> 569.596,704.6,676.6,634.6,,
PC,PC(38:2),131.260009765625,814.7,597.6,10.004333333333333,DegummedCanola_O3on_150gN3_02082023,814.7 -> 597.596,732.7,704.7,662.7,,
PC,PC(38:3),115.760009765625,812.7,595.6,10.004800000000001,DegummedCanola_O3on_150gN3_02082023,812.7 -> 595.596,730.7,702.7,660.7,,
PC,PC(42:0),120.7800064086914,874.8,575.6,10.032766666666667,DegummedCanola_O3on_150gN3_02082023,874.8 -> 575.596,792.8,764.8,722.8,,
PC,PC(42:1),123.1600112915039,872.8,573.6,10.000616666666668,DegummedCanola_O3on_150gN3_02082023,872.8 -> 573.596,790.8,762.8,720.8,,
PC,PC(42:2),102.20000457763672,870.8,571.6,10.001083333333334,DegummedCanola_O3on_150gN3_02082023,870.8 -> 571.596,788.8,760.8,718.8,,
PC,PC(42:3),129.42001342773438,868.7,569.6,10.00155,DegummedCanola_O3on_150gN3_02082023,868.7 -> 569.596,786.7,758.7,716.7,,
PC,PC(43:6),182.20001220703125,876.8,577.6,10.015983333333335,DegummedCanola_O3on_150gN3_02082023,876.8 -> 577.596,794.8,766.8,724.8,,
PC,PC(44:0),205.88002014160156,902.8,603.6,10.013633333333333,DegummedCanola_O3on_150gN3_02082023,902.8 -> 603.596,820.8,792.8,750.8,,
PC,PC(44:1),124.64000701904297,900.8,601.6,10.046716666666667,DegummedCanola_O3on_150gN3_02082023,900.8 -> 601.596,818.8,790.8,748.8,,
PC,PC(44:2),305.9400329589844,898.8,599.6,10.014583333333334,DegummedCanola_O3on_150gN3_02082023,898.8 -> 599.596,816.8,788.8,746.8,,
PC,PC(44:3),110.52000427246094,896.8,597.6,10.01505,DegummedCanola_O3on_150gN3_02082023,896.8 -> 597.596,814.8,786.8,744.8,,
PC,PC(44:4),180.260009765625,894.8,595.6,10.015516666666667,DegummedCanola_O3on_150gN3_02082023,894.8 -> 595.596,812.8,784.8,742.8,,
PC,PC(O-35:0),229.3200225830078,762.6,573.6,10.012233333333334,DegummedCanola_O3on_150gN3_02082023,762.6 -> 573.596,680.6,652.6,610.6,,
PC,PC(O-35:1),295.52001953125,760.6,571.6,10.0127,DegummedCanola_O3on_150gN3_02082023,760.6 -> 571.596,678.6,650.6,608.6,,
PC,PC(O-36:5),194.12001037597656,766.7,577.6,10.0113,DegummedCanola_O3on_150gN3_02082023,766.7 -> 577.596,684.7,656.7,614.7,,
PC,PC(O-37:4),194.04000854492188,782.6,593.6,10.010833333333334,DegummedCanola_O3on_150gN3_02082023,782.6 -> 593.596,700.6,672.6,630.6,,
PC,PC(O-38:4),101.96000671386719,796.7,579.6,10.005266666666667,DegummedCanola_O3on_150gN3_02082023,796.7 -> 579.596,714.7,686.7,644.7,,
PC,PC(O-38:5),224.42001342773438,794.7,577.6,10.005733333333334,DegummedCanola_O3on_150gN3_02082023,794.7 -> 577.596,712.7,684.7,642.7,,
PC,PC(O-38:6),126.24000549316406,792.7,575.6,10.039283333333334,DegummedCanola_O3on_150gN3_02082023,792.7 -> 575.596,710.7,682.7,640.7,,
PC,PC(O-40:5),234.28001403808594,822.7,605.6,10.00245,DegummedCanola_O3on_150gN3_02082023,822.7 -> 605.596,740.7,712.7,670.7,,
PC,PC(O-40:6),152.86001586914062,820.7,603.6,10.002916666666668,DegummedCanola_O3on_150gN3_02082023,820.7 -> 603.596,738.7,710.7,668.7,,
PC,PC(O-40:8),175.20001220703125,816.7,599.6,10.003866666666667,DegummedCanola_O3on_150gN3_02082023,816.7 -> 599.596,734.7,706.7,664.7,,
PC,PC(P-36:5),188.98001098632812,764.6,575.6,10.011766666666666,DegummedCanola_O3on_150gN3_02082023,764.6 -> 575.596,682.6,654.6,612.6,,
PC,PC(P-37:2),118.94001007080078,784.6,595.6,10.010366666666668,DegummedCanola_O3on_150gN3_02082023,784.6 -> 595.596,702.6,674.6,632.6,,
PC,PC(P-38:6),155.30001831054688,790.7,573.6,10.0076,DegummedCanola_O3on_150gN3_02082023,790.7 -> 573.596,708.7,680.7,638.7,,
PC,PC(P-40:6),149.2200164794922,818.7,601.6,10.003383333333334,DegummedCanola_O3on_150gN3_02082023,818.7 -> 601.596,736.7,708.7,666.7,,
PC,PC(36:1),120.18000793457031,788.6,571.6,10.041133333333335,RBDCanola_O3on_150gN3_02082023,788.6 -> 571.596,706.6,678.6,636.6,,
PC,PC(36:2),116.6600112915039,786.6,569.6,10.074666666666667,RBDCanola_O3on_150gN3_02082023,786.6 -> 569.596,704.6,676.6,634.6,,
PC,PC(38:2),130.02000427246094,814.7,597.6,10.004316666666668,RBDCanola_O3on_150gN3_02082023,814.7 -> 597.596,732.7,704.7,662.7,,
PC,PC(38:3),128.48001098632812,812.7,595.6,10.004783333333334,RBDCanola_O3on_150gN3_02082023,812.7 -> 595.596,730.7,702.7,660.7,,
PC,PC(42:0),150.04000854492188,874.8,575.6,10.000133333333334,RBDCanola_O3on_150gN3_02082023,874.8 -> 575.596,792.8,764.8,722.8,,
PC,PC(42:1),115.7800064086914,872.8,573.6,10.065850000000001,RBDCanola_O3on_150gN3_02082023,872.8 -> 573.596,790.8,762.8,720.8,,
PC,PC(42:2),132.78001403808594,870.8,571.6,10.001083333333334,RBDCanola_O3on_150gN3_02082023,870.8 -> 571.596,788.8,760.8,718.8,,
PC,PC(42:3),115.30001068115234,868.7,569.6,10.066783333333333,RBDCanola_O3on_150gN3_02082023,868.7 -> 569.596,786.7,758.7,716.7,,
PC,PC(43:6),149.3000030517578,876.8,577.6,10.015983333333335,RBDCanola_O3on_150gN3_02082023,876.8 -> 577.596,794.8,766.8,724.8,,
PC,PC(44:0),180.32000732421875,902.8,603.6,10.06255,RBDCanola_O3on_150gN3_02082023,902.8 -> 603.596,820.8,792.8,750.8,,
PC,PC(44:1),124.10000610351562,900.8,601.6,10.014100000000001,RBDCanola_O3on_150gN3_02082023,900.8 -> 601.596,818.8,790.8,748.8,,
PC,PC(44:2),162.32000732421875,898.8,599.6,10.014566666666667,RBDCanola_O3on_150gN3_02082023,898.8 -> 599.596,816.8,788.8,746.8,,
PC,PC(44:3),127.72000885009766,896.8,597.6,10.063966666666667,RBDCanola_O3on_150gN3_02082023,896.8 -> 597.596,814.8,786.8,744.8,,
PC,PC(44:4),154.90000915527344,894.8,595.6,10.015516666666667,RBDCanola_O3on_150gN3_02082023,894.8 -> 595.596,812.8,784.8,742.8,,
PC,PC(O-35:0),247.48001098632812,762.6,573.6,10.012216666666667,RBDCanola_O3on_150gN3_02082023,762.6 -> 573.596,680.6,652.6,610.6,,
PC,PC(O-35:1),126.80001068115234,760.6,571.6,10.012683333333333,RBDCanola_O3on_150gN3_02082023,760.6 -> 571.596,678.6,650.6,608.6,,
PC,PC(O-36:5),102.72000885009766,766.7,577.6,10.011283333333333,RBDCanola_O3on_150gN3_02082023,766.7 -> 577.596,684.7,656.7,614.7,,
PC,PC(O-37:4),175.2200164794922,782.6,593.6,10.010816666666667,RBDCanola_O3on_150gN3_02082023,782.6 -> 593.596,700.6,672.6,630.6,,
PC,PC(O-38:4),137.24000549316406,796.7,579.6,10.00525,RBDCanola_O3on_150gN3_02082023,796.7 -> 579.596,714.7,686.7,644.7,,
PC,PC(O-38:5),132.90000915527344,794.7,577.6,10.005716666666666,RBDCanola_O3on_150gN3_02082023,794.7 -> 577.596,712.7,684.7,642.7,,
PC,PC(O-38:6),111.00000762939453,792.7,575.6,10.039266666666666,RBDCanola_O3on_150gN3_02082023,792.7 -> 575.596,710.7,682.7,640.7,,
PC,PC(O-40:5),245.2200164794922,822.7,605.6,10.00245,RBDCanola_O3on_150gN3_02082023,822.7 -> 605.596,740.7,712.7,670.7,,
PC,PC(O-40:6),148.86001586914062,820.7,603.6,10.002916666666668,RBDCanola_O3on_150gN3_02082023,820.7 -> 603.596,738.7,710.7,668.7,,
PC,PC(O-40:8),145.32000732421875,816.7,599.6,10.00385,RBDCanola_O3on_150gN3_02082023,816.7 -> 599.596,734.7,706.7,664.7,,
PC,PC(P-36:5),174.30001831054688,764.6,575.6,10.011750000000001,RBDCanola_O3on_150gN3_02082023,764.6 -> 575.596,682.6,654.6,612.6,,
PC,PC(P-37:2),122.10000610351562,784.6,595.6,10.010366666666668,RBDCanola_O3on_150gN3_02082023,784.6 -> 595.596,702.6,674.6,632.6,,
PC,PC(P-38:6),151.54000854492188,790.7,573.6,10.007583333333335,RBDCanola_O3on_150gN3_02082023,790.7 -> 573.596,708.7,680.7,638.7,,
PC,PC(P-40:6),164.08001708984375,818.7,601.6,10.003383333333334,RBDCanola_O3on_150gN3_02082023,818.7 -> 601.596,736.7,708.7,666.7,,
